lhs	op	rhs	block	group	label	est	se	z	pvalue	std.lv	std.all	std.nox
W5__diff_ind_EmoDiss_z_low_g2	:=	W5__ind_EmoDiss_z_low_g2-W5__ind_EmoDiss_z_low_g1	0	0	W5__diff_ind_EmoDiss_z_low_g2	0.00568407838095358	0.0292252105427187	0.194492298785842	0.845790425276481	-0.01170533173232	0.041900596067205	-0.01170533173232
W5__diff_ind_EmoDiss_z_low_g3	:=	W5__ind_EmoDiss_z_low_g3-W5__ind_EmoDiss_z_low_g1	0	0	W5__diff_ind_EmoDiss_z_low_g3	0.0195861828272091	0.0317703908030667	0.616491718613625	0.537570035936461	0.0610933433159615	0.192227989758491	0.0610933433159615
W5__diff_ind_EmoDiss_z_mid_g2	:=	W5__ind_EmoDiss_z_mid_g2-W5__ind_EmoDiss_z_mid_g1	0	0	W5__diff_ind_EmoDiss_z_mid_g2	0.00752661128023702	0.0343233147425501	0.219285676126915	0.826427519174207	-0.0465554583293153	-0.0233716294423492	-0.0465554583293153
W5__diff_ind_EmoDiss_z_mid_g3	:=	W5__ind_EmoDiss_z_mid_g3-W5__ind_EmoDiss_z_mid_g1	0	0	W5__diff_ind_EmoDiss_z_mid_g3	-0.0112704269092964	0.038173376654149	-0.295243122226428	0.767808162600502	-0.0985711032552438	-0.0493489595734689	-0.0985711032552438
W5__diff_ind_EmoDiss_z_high_g2	:=	W5__ind_EmoDiss_z_high_g2-W5__ind_EmoDiss_z_high_g1	0	0	W5__diff_ind_EmoDiss_z_high_g2	0.00936914417952046	0.07586379305898	0.123499548358154	0.901711531911919	-0.0814055849263107	-0.0886438549519034	-0.0814055849263107
W5__diff_ind_EmoDiss_z_high_g3	:=	W5__ind_EmoDiss_z_high_g3-W5__ind_EmoDiss_z_high_g1	0	0	W5__diff_ind_EmoDiss_z_high_g3	-0.0421270366458019	0.0846004295488011	-0.497952987596845	0.618517178500109	-0.258235549826449	-0.290925908905429	-0.258235549826449
W5__diff_ind_QualEngag_z_low_g2	:=	W5__ind_QualEngag_z_low_g2-W5__ind_QualEngag_z_low_g1	0	0	W5__diff_ind_QualEngag_z_low_g2	0.0169369587281454	0.0234655072124854	0.721781062509217	0.470429094284115	0.0581675476573976	0.192472659972018	0.0581675476573976
W5__diff_ind_QualEngag_z_low_g3	:=	W5__ind_QualEngag_z_low_g3-W5__ind_QualEngag_z_low_g1	0	0	W5__diff_ind_QualEngag_z_low_g3	0.0215045392606055	0.0275532241975301	0.780472699181723	0.435112690975465	0.0758785146846889	0.0447213743133877	0.0758785146846889
W5__diff_ind_QualEngag_z_mid_g2	:=	W5__ind_QualEngag_z_mid_g2-W5__ind_QualEngag_z_mid_g1	0	0	W5__diff_ind_QualEngag_z_mid_g2	-0.0177763638769324	0.0280903436477081	-0.632828280774088	0.526845786477001	-0.110121192854206	-0.0550728271169558	-0.110121192854206
W5__diff_ind_QualEngag_z_mid_g3	:=	W5__ind_QualEngag_z_mid_g3-W5__ind_QualEngag_z_mid_g1	0	0	W5__diff_ind_QualEngag_z_mid_g3	0.0174268779194702	0.0334670607708749	0.520717311830267	0.602563712763138	0.0655945916571988	0.0327685726399433	0.0655945916571988
W5__diff_ind_QualEngag_z_high_g2	:=	W5__ind_QualEngag_z_high_g2-W5__ind_QualEngag_z_high_g1	0	0	W5__diff_ind_QualEngag_z_high_g2	-0.0524896864820103	0.0610248278543452	-0.860136576006299	0.389713761246112	-0.278409933365809	-0.302618314205929	-0.278409933365809
W5__diff_ind_QualEngag_z_high_g3	:=	W5__ind_QualEngag_z_high_g3-W5__ind_QualEngag_z_high_g1	0	0	W5__diff_ind_QualEngag_z_high_g3	0.0133492165783349	0.0731452566349172	0.182502833300094	0.855188131047291	0.0553106686297087	0.0208157709664988	0.0553106686297087
W5__diff_total_z_low_g2	:=	W5__total_z_low_g2-W5__total_z_low_g1	0	0	W5__diff_total_z_low_g2	0.0187345011225613	0.0713728306949037	0.262487853433267	0.792945348713072	0.101136549821814	0.130717402603601	0.101136549821814
W5__diff_total_z_low_g3	:=	W5__total_z_low_g3-W5__total_z_low_g1	0	0	W5__diff_total_z_low_g3	0.12060452773647	0.0862235933992204	1.39874160866927	0.161890481993466	0.525485630678098	0.0214778421345014	0.525485630678098
W5__diff_total_z_mid_g2	:=	W5__total_z_mid_g2-W5__total_z_mid_g1	0	0	W5__diff_total_z_mid_g2	0.062109285872134	0.0859568133738495	0.722563848452639	0.46994788542905	0.0909613187631071	0.0452110044313175	0.0909613187631071
W5__diff_total_z_mid_g3	:=	W5__total_z_mid_g3-W5__total_z_mid_g1	0	0	W5__diff_total_z_mid_g3	0.223797631370771	0.0984655392626817	2.27285234048974	0.0230350796699914	0.836630882840207	0.417938192825027	0.836630882840207
W5__diff_total_z_high_g2	:=	W5__total_z_high_g2-W5__total_z_high_g1	0	0	W5__diff_total_z_high_g2	0.105484070621707	0.191436938599902	0.551012105569476	0.581625376101393	0.0807860877044003	-0.0402953937409656	0.0807860877044003
W5__diff_total_z_high_g3	:=	W5__total_z_high_g3-W5__total_z_high_g1	0	0	W5__diff_total_z_high_g3	0.326990735005071	0.217395418335316	1.50412891637262	0.13254817610733	1.14777613500232	0.814398543515553	1.14777613500232
W5__diff_index_MM_EmoDiss_g2	:=	W5__index_MM_EmoDiss_g2-W5__index_MM_EmoDiss_g1	0	0	W5__diff_index_MM_EmoDiss_g2	0.000987041758174653	0.024703906723675	0.0399548852420464	0.968129093910036	-0.0186691538817489	-0.0349662208213369	-0.0186691538817489
W5__diff_index_MM_EmoDiss_g3	:=	W5__index_MM_EmoDiss_g3-W5__index_MM_EmoDiss_g1	0	0	W5__diff_index_MM_EmoDiss_g3	-0.0165298336531598	0.0274520610473684	-0.60213452187206	0.547084596723708	-0.0855319740140945	-0.129412363217948	-0.0855319740140945
W5__diff_index_MM_QualEngag_g2	:=	W5__index_MM_QualEngag_g2-W5__index_MM_QualEngag_g1	0	0	W5__diff_index_MM_QualEngag_g2	-0.0185958682146327	0.0196701417425369	-0.945385572612264	0.34446206510415	-0.0901519936931223	-0.132609698800778	-0.0901519936931223
W5__diff_index_MM_QualEngag_g3	:=	W5__index_MM_QualEngag_g3-W5__index_MM_QualEngag_g1	0	0	W5__diff_index_MM_QualEngag_g3	-0.00218439628457123	0.0235625682283321	-0.0927062051726887	0.926136967229558	-0.00550908017432643	-0.00640309564266544	-0.00550908017432643
